class,family,genus,species
Araneamorphae,Theridiidae,Dipoena,Dipoena dorsata
Araneamorphae,Theridiidae,Dipoena,Dipoena malkini
Araneamorphae,Theridiidae,Dipoena,Dipoena nigra
Araneamorphae,Theridiidae,Enoplognatha,
Araneamorphae,Theridiidae,Enoplognatha,Enoplognatha caricis
Araneamorphae,Theridiidae,Enoplognatha,Enoplognatha marmorata
Araneamorphae,Theridiidae,Enoplognatha,Enoplognatha ovata
Araneamorphae,Theridiidae,Enoplognatha,Enoplognatha thoracica
Araneamorphae,Theridiidae,Episinus,
Araneamorphae,Theridiidae,Episinus,Episinus amoenus
Araneamorphae,Theridiidae,Euryopis,
Araneamorphae,Theridiidae,Euryopis,Euryopis californica
Araneamorphae,Theridiidae,Euryopis,Euryopis formosa
Araneamorphae,Theridiidae,Euryopis,Euryopis funebris
Araneamorphae,Theridiidae,Euryopis,Euryopis mulaiki
Araneamorphae,Theridiidae,Faiditus,
Araneamorphae,Theridiidae,Faiditus,Faiditus cancellatus
Araneamorphae,Theridiidae,Hentziectypus,
Araneamorphae,Theridiidae,Hentziectypus,Hentziectypus globosus
Araneamorphae,Theridiidae,Latrodectus,
Araneamorphae,Theridiidae,Latrodectus,Latrodectus bishopi
Araneamorphae,Theridiidae,Latrodectus,Latrodectus geometricus
Araneamorphae,Theridiidae,Latrodectus,Latrodectus hesperus
Araneamorphae,Theridiidae,Latrodectus,Latrodectus mactans
Araneamorphae,Theridiidae,Latrodectus,Latrodectus variolus
Araneamorphae,Theridiidae,Meotipa,
Araneamorphae,Theridiidae,Meotipa,Meotipa pulcherrima
Araneamorphae,Theridiidae,Neopisinus,
Araneamorphae,Theridiidae,Neopisinus,Neopisinus cognatus
Araneamorphae,Theridiidae,Neospintharus,
Araneamorphae,Theridiidae,Neospintharus,Neospintharus trigonum
Araneamorphae,Theridiidae,Neottiura,
Araneamorphae,Theridiidae,Neottiura,Neottiura bimaculata
Araneamorphae,Theridiidae,Nesticodes,
Araneamorphae,Theridiidae,Nesticodes,Nesticodes rufipes
Araneamorphae,Theridiidae,Parasteatoda,
Araneamorphae,Theridiidae,Parasteatoda,Parasteatoda tabulata
Araneamorphae,Theridiidae,Parasteatoda,Parasteatoda tepidariorum
Araneamorphae,Theridiidae,Phoroncidia,
Araneamorphae,Theridiidae,Phoroncidia,Phoroncidia americana
Araneamorphae,Theridiidae,Phylloneta,
Araneamorphae,Theridiidae,Phylloneta,Phylloneta pictipes
Araneamorphae,Theridiidae,Platnickina,
Araneamorphae,Theridiidae,Platnickina,Platnickina alabamensis
Araneamorphae,Theridiidae,Platnickina,Platnickina mneon
Araneamorphae,Theridiidae,Platnickina,Platnickina tincta
Araneamorphae,Theridiidae,Rhomphaea,
Araneamorphae,Theridiidae,Rhomphaea,Rhomphaea fictilium
Araneamorphae,Theridiidae,Rhomphaea,Rhomphaea projiciens
Araneamorphae,Theridiidae,Robertus,
Araneamorphae,Theridiidae,Robertus,Robertus eremophilus
Araneamorphae,Theridiidae,Robertus,Robertus pumilus
Araneamorphae,Theridiidae,Robertus,Robertus riparius
Araneamorphae,Theridiidae,Robertus,Robertus vigerens
Araneamorphae,Theridiidae,Rugathodes,
Araneamorphae,Theridiidae,Rugathodes,Rugathodes sexpunctatus
Araneamorphae,Theridiidae,Spintharus,
Araneamorphae,Theridiidae,Spintharus,Spintharus flavidus
Araneamorphae,Theridiidae,Steatoda,
Araneamorphae,Theridiidae,Steatoda,Steatoda albomaculata
Araneamorphae,Theridiidae,Steatoda,Steatoda bipunctata
Araneamorphae,Theridiidae,Steatoda,Steatoda borealis
Araneamorphae,Theridiidae,Steatoda,Steatoda erigoniformis
Araneamorphae,Theridiidae,Steatoda,Steatoda grandis
Araneamorphae,Theridiidae,Steatoda,Steatoda grossa
Araneamorphae,Theridiidae,Steatoda,Steatoda hespera
Araneamorphae,Theridiidae,Steatoda,Steatoda nobilis
Araneamorphae,Theridiidae,Steatoda,Steatoda punctulata
Araneamorphae,Theridiidae,Steatoda,Steatoda triangulosa
Araneamorphae,Theridiidae,Steatoda,Steatoda variata
Araneamorphae,Theridiidae,Theridion,
Araneamorphae,Theridiidae,Theridion,Theridion albidum
Araneamorphae,Theridiidae,Theridion,Theridion californicum
Araneamorphae,Theridiidae,Theridion,Theridion cheimatos
Araneamorphae,Theridiidae,Theridion,Theridion differens
Araneamorphae,Theridiidae,Theridion,Theridion flavonotatum
Araneamorphae,Theridiidae,Theridion,Theridion frondeum
Araneamorphae,Theridiidae,Theridion,Theridion glaucescens
Araneamorphae,Theridiidae,Theridion,Theridion goodnightorum
Araneamorphae,Theridiidae,Theridion,Theridion kawea
Araneamorphae,Theridiidae,Theridion,Theridion lawrencei
Araneamorphae,Theridiidae,Theridion,Theridion leechi
Araneamorphae,Theridiidae,Theridion,Theridion melanurum
Araneamorphae,Theridiidae,Theridion,Theridion michelbacheri
Araneamorphae,Theridiidae,Theridion,Theridion morulum
Araneamorphae,Theridiidae,Theridion,Theridion murarium
Araneamorphae,Theridiidae,Theridion,Theridion neomexicanum
Araneamorphae,Theridiidae,Theridion,Theridion neshamini
Araneamorphae,Theridiidae,Theridion,Theridion pennsylvanicum
Araneamorphae,Theridiidae,Theridion,Theridion pictum
Araneamorphae,Theridiidae,Theridion,Theridion punctipes
Araneamorphae,Theridiidae,Theridion,Theridion submissum
Araneamorphae,Theridiidae,Theridula,
Araneamorphae,Theridiidae,Theridula,Theridula emertoni
Araneamorphae,Theridiidae,Theridula,Theridula opulenta
Araneamorphae,Theridiidae,Thymoites,
Araneamorphae,Theridiidae,Thymoites,Thymoites pictipes
Araneamorphae,Theridiidae,Thymoites,Thymoites unimaculatus
Araneamorphae,Theridiidae,Tidarren,
Araneamorphae,Theridiidae,Tidarren,Tidarren sisyphoides
Araneamorphae,Theridiidae,Wamba,
Araneamorphae,Theridiidae,Wamba,Wamba crispulus
Araneamorphae,Theridiidae,Yunohamella,
Araneamorphae,Theridiidae,Yunohamella,Yunohamella lyrica
Araneamorphae,Theridiosomatidae,,
Araneamorphae,Theridiosomatidae,Theridiosoma,
Araneamorphae,Theridiosomatidae,Theridiosoma,Theridiosoma gemmosum
Araneamorphae,Thomisidae,,
Araneamorphae,Thomisidae,Bassaniana,
Araneamorphae,Thomisidae,Bassaniana,Bassaniana utahensis
Araneamorphae,Thomisidae,Bassaniana,Bassaniana versicolor
Araneamorphae,Thomisidae,Bucranium,
Araneamorphae,Thomisidae,Coriarachne,
Araneamorphae,Thomisidae,Coriarachne,Coriarachne brunneipes
Araneamorphae,Thomisidae,Diaea,
Araneamorphae,Thomisidae,Diaea,Diaea livens
Araneamorphae,Thomisidae,Isaloides,
Araneamorphae,Thomisidae,Mecaphesa,
Araneamorphae,Thomisidae,Mecaphesa,Mecaphesa asperata
Araneamorphae,Thomisidae,Mecaphesa,Mecaphesa californica
Araneamorphae,Thomisidae,Mecaphesa,Mecaphesa celer
Araneamorphae,Thomisidae,Mecaphesa,Mecaphesa deserti
Araneamorphae,Thomisidae,Mecaphesa,Mecaphesa dubia
Araneamorphae,Thomisidae,Mecaphesa,Mecaphesa importuna
Araneamorphae,Thomisidae,Mecaphesa,Mecaphesa rothi
Araneamorphae,Thomisidae,Mecaphesa,Mecaphesa schlingeri
Araneamorphae,Thomisidae,Mecaphesa,Mecaphesa verityi
Araneamorphae,Thomisidae,Misumena,
Araneamorphae,Thomisidae,Misumena,Misumena vatia
Araneamorphae,Thomisidae,Misumenoides,
Araneamorphae,Thomisidae,Misumenoides,Misumenoides formosipes
Araneamorphae,Thomisidae,Misumenops,
Araneamorphae,Thomisidae,Misumenops,Misumenops bellulus
Araneamorphae,Thomisidae,Misumessus,
Araneamorphae,Thomisidae,Misumessus,Misumessus lappi
Araneamorphae,Thomisidae,Misumessus,Misumessus oblongus
Araneamorphae,Thomisidae,Modysticus,
Araneamorphae,Thomisidae,Modysticus,Modysticus modestus
Araneamorphae,Thomisidae,Ozyptila,
Araneamorphae,Thomisidae,Ozyptila,Ozyptila distans
Araneamorphae,Thomisidae,Ozyptila,Ozyptila pacifica
Araneamorphae,Thomisidae,Synema,
Araneamorphae,Thomisidae,Synema,Synema parvulum
Araneamorphae,Thomisidae,Synema,Synema viridans
Araneamorphae,Thomisidae,Tmarus,
Araneamorphae,Thomisidae,Tmarus,Tmarus angulatus
Araneamorphae,Thomisidae,Tmarus,Tmarus floridensis
Araneamorphae,Thomisidae,Tmarus,Tmarus minutus
Araneamorphae,Thomisidae,Xysticus,
Araneamorphae,Thomisidae,Xysticus,Xysticus acquiescens
Araneamorphae,Thomisidae,Xysticus,Xysticus alboniger
Araneamorphae,Thomisidae,Xysticus,Xysticus ampullatus
Araneamorphae,Thomisidae,Xysticus,Xysticus aprilinus
Araneamorphae,Thomisidae,Xysticus,Xysticus auctificus
Araneamorphae,Thomisidae,Xysticus,Xysticus californicus
Araneamorphae,Thomisidae,Xysticus,Xysticus cristatus
Araneamorphae,Thomisidae,Xysticus,Xysticus discursans
Araneamorphae,Thomisidae,Xysticus,Xysticus elegans
Araneamorphae,Thomisidae,Xysticus,Xysticus ellipticus
Araneamorphae,Thomisidae,Xysticus,Xysticus emertoni
Araneamorphae,Thomisidae,Xysticus,Xysticus ferox
Araneamorphae,Thomisidae,Xysticus,Xysticus fervidus
Araneamorphae,Thomisidae,Xysticus,Xysticus fraternus
Araneamorphae,Thomisidae,Xysticus,Xysticus funestus
Araneamorphae,Thomisidae,Xysticus,Xysticus gulosus
Araneamorphae,Thomisidae,Xysticus,Xysticus locuples
Araneamorphae,Thomisidae,Xysticus,Xysticus luctans
Araneamorphae,Thomisidae,Xysticus,Xysticus montanensis
Araneamorphae,Thomisidae,Xysticus,Xysticus pellax
Araneamorphae,Thomisidae,Xysticus,Xysticus punctatus
Araneamorphae,Thomisidae,Xysticus,Xysticus texanus
Araneamorphae,Thomisidae,Xysticus,Xysticus triguttatus
Araneamorphae,Titanoecidae,,
Araneamorphae,Titanoecidae,Titanoeca,
Araneamorphae,Titanoecidae,Titanoeca,Titanoeca americana
Araneamorphae,Titanoecidae,Titanoeca,Titanoeca nigrella
Araneamorphae,Trachelidae,,
Araneamorphae,Trachelidae,Meriola,
Araneamorphae,Trachelidae,Meriola,Meriola arcifera
Araneamorphae,Trachelidae,Meriola,Meriola decepta
Araneamorphae,Trachelidae,Trachelas,
Araneamorphae,Trachelidae,Trachelas,Trachelas pacificus
Araneamorphae,Trachelidae,Trachelas,Trachelas tranquillus
Araneamorphae,Trechaleidae,,
Araneamorphae,Trechaleidae,Trechalea,
Araneamorphae,Trechaleidae,Trechalea,Trechalea gertschi
Araneamorphae,Uloboridae,,
Araneamorphae,Uloboridae,Hyptiotes,
Araneamorphae,Uloboridae,Hyptiotes,Hyptiotes cavatus
Araneamorphae,Uloboridae,Hyptiotes,Hyptiotes gertschi
Araneamorphae,Uloboridae,Philoponella,
Araneamorphae,Uloboridae,Uloborus,
Araneamorphae,Uloboridae,Uloborus,Uloborus diversus
Araneamorphae,Uloboridae,Uloborus,Uloborus glomosus
Araneamorphae,Uloboridae,Zosis,
Araneamorphae,Uloboridae,Zosis,Zosis geniculata
Araneamorphae,Zodariidae,,
Araneamorphae,Zodariidae,Lutica,
Araneamorphae,Zodariidae,Lutica,Lutica nicolasia
Araneamorphae,Zodariidae,Zodarion,
Araneamorphae,Zodariidae,Zodarion,Zodarion rubidum
Araneamorphae,Zoropsidae,,
Araneamorphae,Zoropsidae,Lauricius,
Araneamorphae,Zoropsidae,Lauricius,Lauricius hooki
Araneamorphae,Zoropsidae,Titiotus,
Araneamorphae,Zoropsidae,Titiotus,Titiotus hansii
Araneamorphae,Zoropsidae,Zorocrates,
Araneamorphae,Zoropsidae,Zoropsis,
Araneamorphae,Zoropsidae,Zoropsis,Zoropsis spinimana
Mygalomorphae,,,
Mygalomorphae,Antrodiaetidae,,
Mygalomorphae,Antrodiaetidae,Aliatypus,
Mygalomorphae,Antrodiaetidae,Aliatypus,Aliatypus californicus
Mygalomorphae,Antrodiaetidae,Antrodiaetus,
Mygalomorphae,Antrodiaetidae,Antrodiaetus,Antrodiaetus montanus
Mygalomorphae,Antrodiaetidae,Antrodiaetus,Antrodiaetus pacificus
Mygalomorphae,Antrodiaetidae,Antrodiaetus,Antrodiaetus pugnax
Mygalomorphae,Antrodiaetidae,Antrodiaetus,Antrodiaetus unicolor
Mygalomorphae,Antrodiaetidae,Atypoides,
Mygalomorphae,Antrodiaetidae,Atypoides,Atypoides rivers
Mygalomorphae,Atypidae,,
Mygalomorphae,Atypidae,Sphodros,
Mygalomorphae,Atypidae,Sphodros,Sphodros abboti
Mygalomorphae,Atypidae,Sphodros,Sphodros atlanticus
Mygalomorphae,Atypidae,Sphodros,Sphodros fitchi
Mygalomorphae,Atypidae,Sphodros,Sphodros niger
Mygalomorphae,Atypidae,Sphodros,Sphodros paisano
Mygalomorphae,Atypidae,Sphodros,Sphodros rufipes
Mygalomorphae,Euagridae,,
Mygalomorphae,Euagridae,Euagrus,
Mygalomorphae,Euctenizidae,,
Mygalomorphae,Euctenizidae,Apomastus,
Mygalomorphae,Euctenizidae,Apomastus,Apomastus kristenae
Mygalomorphae,Euctenizidae,Aptostichus,
Mygalomorphae,Euctenizidae,Aptostichus,Aptostichus simus
Mygalomorphae,Euctenizidae,Aptostichus,Aptostichus stanfordianus
Mygalomorphae,Euctenizidae,Aptostichus,Aptostichus stephencolberti
Mygalomorphae,Euctenizidae,Entychides,
Mygalomorphae,Euctenizidae,Entychides,Entychides arizonica
Mygalomorphae,Euctenizidae,Eucteniza,
Mygalomorphae,Euctenizidae,Eucteniza,Eucteniza relata
Mygalomorphae,Euctenizidae,Myrmekiaphila,
Mygalomorphae,Euctenizidae,Myrmekiaphila,Myrmekiaphila comstocki
Mygalomorphae,Euctenizidae,Promyrmekiaphila,
Mygalomorphae,Euctenizidae,Promyrmekiaphila,Promyrmekiaphila clathrata
Mygalomorphae,Halonoproctidae,,
Mygalomorphae,Halonoproctidae,Bothriocyrtum,
Mygalomorphae,Halonoproctidae,Bothriocyrtum,Bothriocyrtum californicum
Mygalomorphae,Halonoproctidae,Cyclocosmia,
Mygalomorphae,Halonoproctidae,Cyclocosmia,Cyclocosmia truncata
Mygalomorphae,Halonoproctidae,Ummidia,
Mygalomorphae,Megahexuridae,,
Mygalomorphae,Megahexuridae,Megahexura,
Mygalomorphae,Megahexuridae,Megahexura,Megahexura fulva
Mygalomorphae,Nemesiidae,,
Mygalomorphae,Nemesiidae,Calisoga,
Mygalomorphae,Nemesiidae,Calisoga,Calisoga longitarsis
Mygalomorphae,Theraphosidae,,
Mygalomorphae,Theraphosidae,Aphonopelma,
Mygalomorphae,Theraphosidae,Aphonopelma,Aphonopelma anax
Mygalomorphae,Theraphosidae,Aphonopelma,Aphonopelma chalcodes
Mygalomorphae,Theraphosidae,Aphonopelma,Aphonopelma hentzi
Mygalomorphae,Theraphosidae,Aphonopelma,Aphonopelma iodius
Mygalomorphae,Theraphosidae,Aphonopelma,Aphonopelma madera
Mygalomorphae,Theraphosidae,Aphonopelma,Aphonopelma marxi
Mygalomorphae,Theraphosidae,Aphonopelma,Aphonopelma moderatum
Mygalomorphae,Theraphosidae,Aphonopelma,Aphonopelma steindachneri
Mygalomorphae,Theraphosidae,Aphonopelma,Aphonopelma vorhiesi
